id,name,ra,dec,mag,dist_ly,spect,con
106635,HR 8269,21.66659,-52.35901,6.20,567.2,F7III,Ind
107513,HR 8349,21.851383,39.536658,6.20,1016.1,B9p HgMn,Cyg
110202,33 Peg,22.39432,20.84823,6.20,109.9,F7V,Peg
112767,78 Aqr,22.909478,-7.204626,6.20,672.5,K3III,Aqr
115541,HR 8921,23.483518,-9.266104,6.20,937.2,K0,Aqr
119159,HYG 119159,17.50651,-1.064706,6.20,53.6,G8 IV-V,Oph
119622,HR 2366,6.51947222,17.46638888,6.20,,K2III,Gem
697,HR 17,0.14471,36.627125,6.21,105.8,F8IV,And
6418,HR 392,1.376931,1.726332,6.21,692.5,M0III,Cet
6526,44 Cet,1.400705,-8.007416,6.21,220.2,F0V,Cet
10788,HR 671,2.319675,46.472261,6.21,445.6,A4V,And
11670,27 Ari,2.51511,17.703856,6.21,288.6,G5III-IV,Ari
12286,HR 775,2.643557,3.443205,6.21,328.8,G9III,Cet
12753,HR 817,2.739037,-32.524715,6.21,356.8,A1V,For
16211,HR 1047,3.490633,46.937868,6.21,637.0,B7V,Per
17692,HR 1186,3.797114,-36.105785,6.21,486.8,B8V,Eri
18130,HR 1206,3.886925,-18.434447,6.21,888.7,K0/K1III+..,Eri
21636,HR 1477,4.65643,25.218274,6.21,346.6,A5Vn,Tau
23527,HR 1587,5.070216,73.763887,6.21,1545.8,K0,Cam
25721,HR 1837,5.505534,4.204795,6.21,541.8,K2IIIvar,Ori
26714,HR 1925,5.688982,53.481058,6.21,40.0,K1V,Aur
28180,HR 2097,5.96992,-0.994018,6.21,337.6,K0,Ori
28363,HR 2118,6.004905,-12.900034,6.21,205.0,F2IV,Lep
28367,HR 2096,6.005252,44.592013,6.21,352.2,K2III...,Aur
32105,HR 2464,6.720483,37.147375,6.21,517.7,K0,Aur
36630,HR 2897,7.556163,-14.338307,6.21,2013.3,B2II,Pup
38765,HR 3118,7.955575,-47.890705,6.21,1035.4,B5V,Pup
39424,HR 3158,8.079251,18.84202,6.21,349.2,B9V,Cnc
39496,HR 3164,8.093627,27.529736,6.21,959.3,A0V,Cnc
39807,HR 3199,8.15283,-35.455015,6.21,384.6,G8III,Pup
42419,HR 3423,8.671748,31.941898,6.21,404.2,F5III,Cnc
42658,HR 3436,8.716713,46.900845,6.21,413.4,G8III,UMa
42954,HR 3488,8.773267,-41.125389,6.21,716.8,B9V,Vel
44103,HR 3580,9.008556,37.604353,6.21,1212.5,K5,Lyn
45935,HD 81369,9.394378,-46.90875,6.21,769.2,B7III,Vel
53807,HR 4302,11.040125,-26.831505,6.21,182.9,A9III/IV,Hya
56732,HR 4490,11.664201,-14.468529,6.21,556.6,A0V,Crt
56908,HR 4506,11.70098,-20.294167,6.21,255.2,G8IV,Crt
58370,HR 4586,12.005224,80.853186,6.21,913.6,M2III,Cam
59669,HR 4664,12.273293,-72.614499,6.21,380.1,A0V,Mus
